UID          PID    PPID  C STIME TTY          TIME CMD
root         895       1  0 14:28 ?        00:00:00 /usr/sbin/ModemManager --filter-policy=strict
root         908       1  0 14:28 ?        00:00:00 /usr/sbin/gdm3
root         925     908  0 14:28 ?        00:00:00 gdm-session-worker [pam/gdm-autologin]
whoopsie     978       1  0 14:28 ?        00:00:00 /usr/bin/whoopsie -f
kernoops     979       1  0 14:28 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     986       1  0 14:28 ?        00:00:00 /usr/sbin/kerneloops
aadisha+     988       1  0 14:28 ?        00:00:00 /lib/systemd/systemd --user
aadisha+     997     988  0 14:28 ?        00:00:00 (sd-pam)
aadisha+    1035     988  0 14:28 ?        00:00:21 /usr/bin/pulseaudio --daemonize=no --log-target=journal
aadisha+    1037     988  0 14:28 ?        00:00:00 /usr/libexec/tracker-miner-fs
aadisha+    1039       1  0 14:28 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
aadisha+    1043     925  0 14:28 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
rtkit       1044       1  0 14:28 ?        00:00:00 /usr/libexec/rtkit-daemon
aadisha+    1048     988  0 14:28 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
aadisha+    1051    1043  0 14:28 tty2     00:00:41 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
aadisha+    1054     988  0 14:28 ?        00:00:00 /usr/libexec/gvfsd
aadisha+    1059     988  0 14:28 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
aadisha+    1063     988  0 14:28 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
aadisha+    1086     988  0 14:28 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
aadisha+    1090     988  0 14:28 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
aadisha+    1094     988  0 14:28 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
aadisha+    1099     988  0 14:28 ?        00:00:00 /usr/libexec/goa-daemon
root        1101       2  0 14:28 ?        00:00:00 [krfcommd]
aadisha+    1114     988  0 14:28 ?        00:00:00 /usr/libexec/goa-identity-service
aadisha+    1118     988  0 14:28 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
root        1125       1  0 14:28 ?        00:00:00 /usr/lib/upower/upowerd
aadisha+    1172    1043  0 14:28 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
aadisha+    1267    1172  0 14:28 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
aadisha+    1287     988  0 14:29 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
aadisha+    1292    1287  0 14:29 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
aadisha+    1296     988  0 14:29 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
aadisha+    1303     988  0 14:29 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
aadisha+    1316     988  0 14:29 ?        00:01:01 /usr/bin/gnome-shell
aadisha+    1351    1316  0 14:29 ?        00:00:00 ibus-daemon --panel disable --xim
aadisha+    1355    1351  0 14:29 ?        00:00:00 /usr/libexec/ibus-dconf
aadisha+    1356    1351  0 14:29 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
aadisha+    1360     988  0 14:29 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
aadisha+    1363     988  0 14:29 ?        00:00:00 /usr/libexec/ibus-portal
aadisha+    1373     988  0 14:29 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
aadisha+    1377     988  0 14:29 ?        00:00:00 /usr/libexec/xdg-permission-store
aadisha+    1382     988  0 14:29 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
aadisha+    1390     988  0 14:29 ?        00:00:00 /usr/libexec/evolution-source-registry
aadisha+    1397     988  0 14:29 ?        00:00:00 /usr/libexec/evolution-calendar-factory
aadisha+    1409     988  0 14:29 ?        00:00:00 /usr/libexec/dconf-service
aadisha+    1413     988  0 14:29 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
aadisha+    1420     988  0 14:29 ?        00:00:00 /usr/libexec/gvfsd-metadata
aadisha+    1440     988  0 14:29 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
aadisha+    1448    1054  0 14:29 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
aadisha+    1457     988  0 14:29 ?        00:00:00 /usr/libexec/gsd-a11y-settings
aadisha+    1459     988  0 14:29 ?        00:00:00 /usr/libexec/gsd-color
aadisha+    1460     988  0 14:29 ?        00:00:00 /usr/libexec/gsd-datetime
aadisha+    1462     988  0 14:29 ?        00:00:00 /usr/libexec/gsd-housekeeping
aadisha+    1463     988  0 14:29 ?        00:00:00 /usr/libexec/gsd-keyboard
aadisha+    1464     988  0 14:29 ?        00:00:00 /usr/libexec/gsd-media-keys
aadisha+    1467     988  0 14:29 ?        00:00:00 /usr/libexec/gsd-power
aadisha+    1477     988  0 14:29 ?        00:00:00 /usr/libexec/gsd-print-notifications
aadisha+    1478     988  0 14:29 ?        00:00:00 /usr/libexec/gsd-rfkill
